epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,208.3,0.50794,1.04128,0.95022,0.78291,0.98026,0.995,0.89521,0.39016,0.60442,0.8834,0.000220089,0.000220089,0.000220089
83,210.278,0.50325,1.157,0.98356,0.77864,0.9832,0.995,0.88697,0.38664,0.62946,0.90088,0.00020909,0.00020909,0.00020909
84,212.345,0.49857,1.09695,0.95569,0.95057,0.84446,0.995,0.88697,0.3789,0.56364,0.88144,0.000198091,0.000198091,0.000198091
85,214.259,0.49298,0.98802,0.99831,0.95561,0.84989,0.995,0.88697,0.36724,0.50177,0.86177,0.000187092,0.000187092,0.000187092
86,216.434,0.49428,1.01025,0.96428,0.96408,0.98537,0.995,0.90362,0.38433,0.45587,0.86219,0.000176094,0.000176094,0.000176094
87,219.277,0.49513,1.00778,0.95864,0.91911,0.91727,0.995,0.90362,0.39677,0.48899,0.86708,0.000165095,0.000165095,0.000165095
88,222.903,0.46978,0.97429,0.94393,0.95548,0.95222,0.995,0.88697,0.40185,0.44889,0.86511,0.000154096,0.000154096,0.000154096
89,225.379,0.52769,1.05151,0.96656,0.95531,0.88893,0.995,0.88697,0.41049,0.46625,0.86763,0.000143097,0.000143097,0.000143097
90,227.391,0.44629,0.87204,0.94635,0.79478,0.98977,0.995,0.87046,0.44511,0.55599,0.90557,0.000132098,0.000132098,0.000132098
91,231,0.38415,0.98307,0.872,0.78757,0.99013,0.995,0.86219,0.447,0.60125,0.9084,0.000121099,0.000121099,0.000121099
92,233.32,0.36948,0.90028,0.90194,0.78179,0.99053,0.995,0.87046,0.44848,0.70356,0.91992,0.0001101,0.0001101,0.0001101
93,236.032,0.34598,0.96954,0.8705,0.78117,0.9905,0.995,0.89522,0.44725,0.74555,0.92368,9.91012e-05,9.91012e-05,9.91012e-05
94,239.391,0.368,0.89425,0.88143,0.77936,0.99,0.995,0.88698,0.42158,0.79772,0.92429,8.81023e-05,8.81023e-05,8.81023e-05
95,242.049,0.36439,0.97284,0.87675,0.77878,0.99033,0.995,0.88698,0.40255,0.80341,0.91675,7.71034e-05,7.71034e-05,7.71034e-05
96,244.087,0.32651,0.89202,0.88053,0.77786,0.99003,0.995,0.89523,0.38169,0.78461,0.89684,6.61045e-05,6.61045e-05,6.61045e-05
97,246.063,0.33269,0.87587,0.8849,0.77758,0.99064,0.995,0.89523,0.38304,0.76463,0.88969,5.51056e-05,5.51056e-05,5.51056e-05
98,248.051,0.33327,0.84015,0.8443,0.77761,0.99035,0.995,0.89522,0.39036,0.75261,0.8865,4.41067e-05,4.41067e-05,4.41067e-05
99,250.077,0.36057,0.85781,0.92286,0.77765,0.99075,0.995,0.89522,0.39504,0.74063,0.88494,3.31078e-05,3.31078e-05,3.31078e-05
100,252.688,0.33693,0.92431,0.88266,0.77791,0.98863,0.995,0.89522,0.39101,0.74498,0.8784,2.21089e-05,2.21089e-05,2.21089e-05
