epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2031.94,0.69899,0.7389,1.06361,0.76274,0.77804,0.82878,0.64696,0.87346,0.84883,1.23424,0.000288062,0.000288062,0.000288062
71,2059.27,0.70704,0.73512,1.07168,0.75767,0.80096,0.8322,0.66056,0.83553,0.81357,1.17453,0.000279063,0.000279063,0.000279063
72,2088.97,0.67841,0.72323,1.05891,0.76641,0.80622,0.83111,0.65249,0.80912,0.80365,1.15794,0.000270064,0.000270064,0.000270064
73,2118.55,0.69289,0.72061,1.05332,0.77533,0.78936,0.8394,0.65899,0.82703,0.82788,1.1666,0.000261065,0.000261065,0.000261065
74,2145.82,0.70753,0.69717,1.05717,0.78708,0.76966,0.83217,0.65411,0.83426,0.80976,1.16721,0.000252066,0.000252066,0.000252066
75,2176.13,0.67344,0.69397,1.04431,0.78232,0.78903,0.84016,0.66818,0.83066,0.83197,1.16922,0.000243067,0.000243067,0.000243067
76,2206.46,0.67699,0.68258,1.0421,0.80114,0.78677,0.83551,0.66793,0.78697,0.82041,1.15249,0.000234068,0.000234068,0.000234068
77,2234.91,0.68628,0.69732,1.05664,0.75793,0.83834,0.8393,0.6628,0.80871,0.83145,1.15043,0.000225068,0.000225068,0.000225068
78,2263.17,0.67489,0.68029,1.04649,0.79185,0.80854,0.84929,0.67056,0.81935,0.78818,1.17066,0.000216069,0.000216069,0.000216069
79,2292.8,0.67368,0.67993,1.04464,0.80227,0.80172,0.84558,0.67174,0.81815,0.8386,1.18802,0.00020707,0.00020707,0.00020707
80,2321.7,0.66171,0.6949,1.04528,0.77656,0.8098,0.85018,0.67773,0.78757,0.78406,1.1367,0.000198071,0.000198071,0.000198071
81,2349.24,0.65679,0.67539,1.04648,0.81024,0.79541,0.84593,0.66978,0.82043,0.76264,1.17527,0.000189072,0.000189072,0.000189072
82,2379.1,0.65893,0.64416,1.04056,0.80841,0.80577,0.85413,0.68378,0.78279,0.74906,1.13679,0.000180073,0.000180073,0.000180073
83,2407.98,0.65635,0.64693,1.0397,0.77602,0.8237,0.84814,0.67996,0.77983,0.75395,1.13769,0.000171074,0.000171074,0.000171074
84,2435.31,0.64653,0.64764,1.03856,0.79568,0.79765,0.84543,0.67055,0.83709,0.8219,1.17718,0.000162075,0.000162075,0.000162075
85,2465.04,0.63551,0.63986,1.0368,0.8046,0.77284,0.8498,0.68454,0.79431,0.80656,1.14346,0.000153076,0.000153076,0.000153076
86,2494.11,0.6342,0.63799,1.02769,0.80889,0.79833,0.84634,0.68245,0.80154,0.77995,1.16173,0.000144077,0.000144077,0.000144077
87,2520.79,0.64426,0.65103,1.04426,0.8001,0.8127,0.85146,0.68788,0.7618,0.78744,1.11426,0.000135077,0.000135077,0.000135077
88,2550.17,0.63878,0.64343,1.03362,0.79165,0.818,0.85661,0.68688,0.80486,0.79104,1.16098,0.000126078,0.000126078,0.000126078
89,2579.45,0.62312,0.61382,1.02149,0.79532,0.81812,0.86221,0.70011,0.77092,0.76026,1.12328,0.000117079,0.000117079,0.000117079
